Job_Title,Description
Physical Therapist,"physical therapy rehabilitation patient care exercise therapy"
Occupational Therapist,"occupational therapy rehabilitation patient care daily living skills"
Speech Therapist,"speech therapy communication disorders patient care speech exercises"
Psychiatrist,"psychiatry mental health diagnosis treatment psychotherapy"
Social Worker,"social work counseling community resources advocacy"
Counselor,"counseling mental health patient care counseling therapy"
Psychologist,"psychology research data analysis human behavior mental health"
Physician,"medicine patient diagnosis treatment medical research healthcare"
Surgeon,"surgery patient care medical knowledge surgical procedures"
Oncologist,"oncology patient care cancer treatment medical research healthcare"
Endocrinologist,"endocrinology patient care diabetes treatment medical research healthcare"
Gynecologist,"gynecology patient care reproductive health treatment medical research healthcare"
Pulmonologist,"pulmonology patient care respiratory diseases treatment medical research healthcare"
Cardiologist,"cardiology patient care heart diseases treatment medical research healthcare"
Neurologist,"neurology patient care neurological disorders treatment medical research healthcare"
Gastroenterologist,"gastroenterology patient care digestive diseases treatment medical research healthcare"
Nephrologist,"nephrology patient care kidney diseases treatment medical research healthcare"
Hematologist,"hematology patient care blood disorders treatment medical research healthcare"
Immunologist,"immunology patient care immune system disorders treatment medical research healthcare"
Rheumatologist,"rheumatology patient care autoimmune diseases treatment medical research healthcare"
Allergist,"allergy patient care allergy testing treatment medical research healthcare"
Infectious Disease Specialist,"infectious diseases patient care treatment medical research healthcare"
Ophthalmologist,"ophthalmology patient care eye diseases treatment medical research healthcare"
Otorhinolaryngologist,"otolaryngology patient care nose and throat diseases treatment medical research healthcare"
Orthopedic Surgeon,"orthopedics patient care joint disorders treatment medical research healthcare"
Urologist,"urology patient care urinary tract diseases treatment medical research healthcare"
Psychiatric Nurse,"psychiatric nursing mental health patient care psychiatric treatment"
Pediatrician,"pediatrics patient care child health treatment medical research healthcare"
Geriatrician,"geriatrics patient care elderly health treatment medical research healthcare"
End of file


